Index,name,latitude,longitude,distance,climb,descent,hours,minutes,seconds,difficulty
0,#10 Mine Trail,33.43741,-86.88516,867,84,2,0,0,56,1
1,#14 Connector Trail,33.45814,-86.85563,1275,36,71,0,1,32,2
2,17th Ohio Battery Trail,30.73432,-87.91012,2789,38,34,0,4,0,2
3,2-Star Betty,33.69728,-85.79924,3806,31,43,0,5,22,1
4,265 Loop,30.77967,-88.09737,3887,71,68,0,5,47,2
5,4-Ball Trail,34.80733,-87.69741,1998,67,31,0,6,29,2
6,Abby Road,34.66642,-86.65241,4111,129,30,0,4,46,2
7,Access Trail,32.56475,-85.45842,939,75,53,0,1,48,1
8,Access Trail,33.24953,-87.06896,1113,43,1,0,2,49,1
9,Access Trail,31.2111,-85.45669,307,28,2,0,0,22,1
10,Access Trail,33.63057,-86.60216,3224,68,17,0,6,56,1
11,Access Trail Short,30.7791,-88.10915,3887,21,36,0,0,13,0
12,ACOM Trail,31.20612,-85.3427,9504,138,122,0,12,10,1
13,Alms House Trail,34.74342,-86.54396,8976,56,307,0,16,18,3
14,Altamont Park Trail,33.51012,-86.76525,1194,28,21,0,0,32,1
15,Alum Hollow,34.58988,-86.50973,6336,63,190,0,14,44,2
16,Antique Creek,33.26971,-87.53216,1867,38,23,0,3,57,3
17,Apache,34.68258,-86.63836,3763,44,28,0,7,16,1
18,Apache Trail,31.48464,-85.63666,7392,61,68,0,10,32,2
19,Apollo,34.6609,-86.64169,4454,51,170,0,8,41,2
20,Armadillo Alley,32.54687,-85.48704,2421,43,41,0,3,9,2
21,Arrowhead Trail,34.72136,-86.53737,24816,472,867,1,12,21,3
22,Artemis,34.66752,-86.64335,4076,17,297,0,7,2,3
23,Baby Bear,33.60776,-85.91265,5808,116,114,0,16,7,1
24,Backside Loop,32.63013,-86.24979,11616,338,270,0,21,23,2
25,Baltzell to Yahoo,33.69057,-85.79094,12144,224,410,0,27,1,2
26,Bankhead Trail (Aka RMAD),34.74425,-86.54467,8976,271,13,0,17,26,2
27,Bartram Trail,32.47874,-85.56392,22704,610,821,0,43,16,2
28,Base CAMP Trail,32.55339,-85.47527,1565,27,29,0,4,30,1
29,Bastard Loop,32.62955,-86.24613,2053,94,90,0,4,45,2
30,Beach Loop,30.78508,-88.10311,2789,38,40,0,1,57,1
31,Beaver Tail Flats,31.21858,-85.46586,4900,164,165,0,6,47,1
32,Belly Mine,33.21329,-87.46206,5154,115,108,0,7,27,2
33,Betwixt,34.71396,-86.43357,2100,7,16,0,3,39,1
34,Bevil Alternate,34.3723,-86.2125,4055,112,26,0,7,43,2
35,Big Bluff Trail,34.69835,-86.44506,10032,108,334,0,27,32,2
36,Big Levee - East,31.21183,-85.44368,10560,115,157,0,15,28,2
37,Big Levee - West,31.2156,-85.44657,3352,97,75,0,4,24,2
38,Big Levee Advanced Trail,31.21578,-85.44449,1621,6,8,0,3,58,3
39,Big Pimpin' #2,34.81455,-87.69334,8976,282,398,0,15,47,2
40,Bill And Marion Certain Trail,34.65698,-86.5167,9504,386,132,0,23,44,3
41,Bills Creek Loop 63B,33.19883,-86.18251,15312,325,329,0,19,11,2
42,Black Creek East Loop,33.62151,-86.79459,1073,2,2,0,1,35,1
43,Black Creek Loop #1,33.33171,-86.86268,7392,114,107,0,9,34,1
44,Black Creek Park,33.62156,-86.79675,3153,9,8,0,18,12,1
45,Black Creek Rails to Trails,33.62178,-86.79892,29040,162,122,0,27,5,1
46,Black Forest,30.7795,-88.09374,10032,178,175,0,16,53,2
47,Black Hawk,34.69167,-86.64126,4714,286,35,0,27,18,3
48,Black Ridge Loop #3,33.33079,-86.86395,9504,265,272,0,13,8,2
49,Blackhawk Trail,31.47452,-85.63718,6864,245,152,0,6,41,2
50,Blake's Cabin Trail,34.69691,-86.43944,10560,254,181,0,23,22,2
51,Blowhard,33.64495,-85.85105,2379,155,8,0,8,26,1
52,Blue Gravity,33.60865,-85.91702,2933,48,231,0,2,39,2
53,Blue Trail,30.69775,-88.19499,5808,205,191,0,8,26,2
54,Bluff Line Trail,34.74407,-86.54438,13200,556,202,0,22,53,4
55,Bluff Trail,30.77926,-88.09722,10032,154,165,0,16,6,2
56,BMRR North Trail,33.44165,-86.88687,10560,147,3,0,14,57,1
57,BMRR South Trail,33.45458,-86.85585,11088,188,304,0,9,21,1
58,Bog Trail,34.7334,-86.50886,1555,57,14,0,2,23,1
59,Bomb Dog,33.61979,-85.88632,25872,375,1027,0,53,11,2
60,Bostick,34.81744,-86.6242,7392,171,159,0,14,52,3
61,Bottoms Start,30.69774,-88.1961,3602,23,4,0,6,28,1
62,Boulder Ridge,33.33337,-86.72258,7392,303,322,0,50,4,4
63,Breastworks,30.73717,-87.92423,1637,50,27,0,2,49,1
64,Brutality,33.26191,-87.52739,3114,54,59,0,6,53,3
65,Buddy Powell,33.25656,-87.52872,2795,11,45,0,4,39,2
66,Buddy Powell Loop,33.25882,-87.52908,2221,24,30,0,2,4,1
67,Buffalo Rock,34.3894,-86.21642,4980,113,191,0,11,41,3
68,Bull Frog,33.62278,-85.88276,1021,46,26,0,1,21,2
69,Bulldog Trail,34.77792,-86.55424,4485,55,95,0,10,25,2
70,Bullwinkle,33.6471,-85.8446,2523,52,31,0,5,37,1
71,Bunny,33.64294,-85.85376,1159,49,87,0,2,55,1
72,Butler Pass,34.39005,-86.21387,6336,407,214,0,17,12,2
73,Buzzard's Roost,34.75048,-86.54278,2110,84,5,0,7,10,2
74,Buzzards Falls,34.58961,-86.5222,1073,4,9,0,1,51,2
75,Buzzards Falls,34.5895,-86.52148,3343,34,19,0,6,11,2
76,C. C. Sykes,33.70545,-85.79855,6336,132,115,0,8,50,2
77,Cahaba Shoals Loop,33.17714,-87.01497,10560,289,289,0,21,0,2
78,CAMP's Trail,32.55413,-85.4774,4288,72,72,0,6,52,1
79,Campground Trail (Silver Trail),34.50078,-85.63428,6864,54,279,0,11,34,2
80,Cannon Ball Loop,33.24734,-87.06245,6864,175,247,0,7,33,2
81,Cannonball Run,30.73829,-87.90749,6864,158,64,0,13,1,2
82,Cannonball Run extension,30.73402,-87.89967,3543,27,27,0,7,7,2
83,Cascade,34.0416,-86.02816,5280,113,116,0,6,37,1
84,Cascade East,34.04319,-86.02386,2513,13,20,0,5,56,1
85,Cassidy,33.61975,-85.90093,6864,579,175,0,24,28,2
86,Cat Dog Snake,33.35238,-86.71842,5808,180,182,0,8,29,2
87,Cave,34.37971,-86.21469,4078,37,233,0,8,55,2
88,Cave Alternative,34.38684,-86.21705,2654,210,13,0,9,57,2
89,CCC Quarry Trail,34.50158,-85.61909,8448,351,42,0,27,15,2
90,CCC trail,32.54988,-85.48275,12144,285,306,0,18,54,1
91,Cemetery Loop,30.78304,-88.10411,3596,84,81,0,8,51,2
92,Cemetery Loop,33.2631,-87.52733,1411,10,3,0,1,48,1
93,Cemetery Loop Connector,30.78393,-88.10252,721,28,7,0,1,1,2
94,Cemetry Loop,30.78169,-88.10452,8448,108,122,0,18,35,2
95,Centipede,33.30918,-86.76196,4225,98,74,0,7,23,2
96,Chalet Alt,34.48999,-85.6085,2768,12,42,0,3,37,1
97,Chalet Trail,34.49232,-85.61647,3645,172,118,0,4,32,1
98,Chasco Trail,34.77435,-86.548,2405,26,27,0,3,42,1
99,Cheaha Express,33.47764,-85.80861,12144,421,209,0,40,38,2
100,Cheaha Run,33.4897,-85.81074,1870,43,5,0,7,20,1
101,Chewacla DH,32.54892,-85.47671,890,6,164,0,4,15,4
102,Chilowhee,33.64109,-85.84894,25344,721,897,0,45,31,2
103,Chinook,34.68595,-86.65543,5157,43,256,0,10,22,2
